window,condition,models,sharpe,baseline_sharpe,delta_sharpe,max_dd,baseline_max_dd,qb_diff,qb_p
Window1_2000s,Full (GMM+HMM+RF+LSTM),GMM+HMM+RF+LSTM,-0.04727970016526913,1.2992422264286352,-1.3465219265939044,-0.14774677581444562,-0.06023401606776524,-0.006469048691837215,8.921594126934212e-26
Window1_2000s,No GMM,HMM+RF+LSTM,-0.050556775498482684,1.2992422264286352,-1.3497990019271178,-0.14789028826992878,-0.06023401606776524,-0.0039851704399101184,1.0723005937256838e-48
Window1_2000s,No HMM,GMM+RF+LSTM,-0.04792276539009718,1.2992422264286352,-1.3471649918187323,-0.14722310046056553,-0.06023401606776524,-0.004198676439217825,1.3203905767463815e-47
Window1_2000s,No RF,GMM+HMM+LSTM,-0.055093678158813914,1.2992422264286352,-1.354335904587449,-0.1505351562198599,-0.06023401606776524,-0.007814596875871023,5.145774579283736e-19
Window1_2000s,No LSTM,GMM+HMM+RF,-0.049897735844200146,1.2992422264286352,-1.3491399622728353,-0.14807780341340182,-0.06023401606776524,-0.010786253398860648,6.629863876109352e-22
Window1_2000s,Unsupervised only,GMM+HMM,-0.06485028394053742,1.2992422264286352,-1.3640925103691726,-0.15260685890564474,-0.06023401606776524,-0.016580915496298837,2.2334305477697022e-17
Window1_2000s,Supervised only,RF+LSTM,-0.04701753946285637,1.2992422264286352,-1.3462597658914917,-0.148620772628128,-0.06023401606776524,-0.0033086313317683604,2.5653868651847103e-50
Window3_2020s,Full (GMM+HMM+RF+LSTM),GMM+HMM+RF+LSTM,0.494891667889219,2.1563244207704977,-1.6614327528812787,-0.05656758802304518,-0.0256597287381779,0.0,
Window3_2020s,No GMM,HMM+RF+LSTM,0.4977332369792692,2.1563244207704977,-1.6585911837912284,-0.0559734482782237,-0.0256597287381779,0.0,
Window3_2020s,No HMM,GMM+RF+LSTM,0.4973875651971246,2.1563244207704977,-1.658936855573373,-0.056082905586985365,-0.0256597287381779,0.0,
Window3_2020s,No RF,GMM+HMM+LSTM,0.48473515090349906,2.1563244207704977,-1.6715892698669985,-0.05715976308291926,-0.0256597287381779,0.0,
Window3_2020s,No LSTM,GMM+HMM+RF,0.48688108165908917,2.1563244207704977,-1.6694433391114085,-0.057335312325322074,-0.0256597287381779,0.0,
Window3_2020s,Unsupervised only,GMM+HMM,0.4646875846481777,2.1563244207704977,-1.69163683612232,-0.05773826583671404,-0.0256597287381779,0.0,
Window3_2020s,Supervised only,RF+LSTM,0.5028651074031549,2.1563244207704977,-1.6534593133673428,-0.056473293933326785,-0.0256597287381779,0.0,
